time,pos_err_sq,orient_err_sq
0.000000000,1.062704903,1.006082423
10.000000000,1.315442939,1.006850909
20.000000000,2.281821288,1.005273845
30.000000000,2.603487087,1.008253757
40.000000000,2.357864049,1.007921841
50.000000000,2.308866375,1.005378171
60.000000000,1.078520024,1.007147134
70.000000000,1.106132352,1.002911010
80.000000000,1.338093281,1.003311779
90.000000000,2.566985822,1.002608780
100.000000000,2.610561058,1.004712564
110.000000000,2.344657055,1.001981824
120.000000000,2.134550126,1.000278787
130.000000000,1.065720830,1.003747278
140.000000000,1.273400883,0.999565130
150.000000000,1.358133892,0.999683678
160.000000000,2.581740753,1.002123034
170.000000000,2.610427277,0.999113025
180.000000000,2.329952950,1.001475983
190.000000000,1.437141895,0.997035190
200.000000000,1.051773083,1.000150043
210.000000000,1.318080110,0.997062743
220.000000000,1.367422239,0.998886670
230.000000000,2.590814836,0.996221497
240.000000000,2.485966111,0.994753504
250.000000000,2.312750223,0.995229765
260.000000000,1.097220822,0.993864853
270.000000000,1.047458599,0.993934180
280.000000000,1.328352437,0.996601805
290.000000000,1.383919477,0.992187771
300.000000000,2.598750003,0.992926059
310.000000000,2.347182998,0.991505814
320.000000000,2.293623866,0.991636097
330.000000000,1.072520677,0.993986367
340.000000000,1.040620540,0.991054730
350.000000000,1.337081050,0.990610696
360.000000000,1.923688163,0.988909174
370.000000000,2.606249836,0.992106530
380.000000000,2.321683261,0.988968316
390.000000000,2.278594838,0.988128499
400.000000000,1.069051655,0.988094619
410.000000000,1.061657546,0.986542578
420.000000000,1.358986083,0.987181769
430.000000000,2.477864174,0.985748138
440.000000000,2.614662682,0.988530315
450.000000000,2.318955936,0.985703853
460.000000000,2.264202039,0.985227986
470.000000000,1.060691301,0.987647455
480.000000000,1.211696901,0.983411161
490.000000000,1.375435977,0.986255563
500.000000000,2.584147021,0.983185267
510.000000000,2.618876085,0.982415836
520.000000000,2.314427463,0.982518727
530.000000000,1.784130121,0.980891069
540.000000000,1.055971150,0.981401234
550.000000000,1.342789969,0.980078550
560.000000000,1.389110329,0.980083399
570.000000000,2.596870910,0.982752386
580.000000000,2.601883741,0.978455262
590.000000000,2.306345000,0.979168178
600.000000000,1.218684955,0.977591124
610.000000000,1.050495795,0.980509905
620.000000000,1.347162133,0.980306012
630.000000000,1.399234854,0.976220313
640.000000000,2.602986744,0.979525231
650.000000000,2.399380577,0.975334325
660.000000000,2.290429951,0.978273220
670.000000000,1.081578731,0.977821495
680.000000000,1.047470160,0.974424120
690.000000000,1.357928550,0.974449262
700.000000000,1.603648162,0.972744658
710.000000000,2.617060397,0.973423165
720.000000000,2.323723409,0.972039695
730.000000000,2.280086805,0.974737708
740.000000000,1.077488902,0.974579172
750.000000000,1.049755181,0.970643073
760.000000000,1.375432444,0.971187727
770.000000000,2.234354895,0.969538655
780.000000000,2.628154785,0.969904389
790.000000000,2.315807314,0.972247797
800.000000000,2.265902186,0.970273674
810.000000000,1.068943502,0.968749819
820.000000000,1.125147972,0.967199498
830.000000000,1.390710243,0.970310343
840.000000000,2.590823548,0.966528318
850.000000000,2.632586706,0.966426633
860.000000000,2.311539704,0.969139711
870.000000000,2.187453520,0.964795534
880.000000000,1.062834414,0.968117080
890.000000000,1.302390188,0.964001993
900.000000000,1.402202827,0.964132226
910.000000000,2.603762565,0.963863281
920.000000000,2.632406646,0.962615960
930.000000000,2.307601556,0.963180400
940.000000000,1.516933363,0.961513474
950.000000000,1.062627340,0.961953426
960.000000000,1.369793306,0.961558506
970.000000000,1.419045687,0.963350079
980.000000000,2.620800730,0.960722141
990.000000000,2.549039866,0.959256679
1000.000000000,2.307011030,0.959780756
1010.000000000,1.151934658,0.958319778
1020.000000000,1.062719907,0.958497675
1030.000000000,1.375644651,0.958357990
1040.000000000,1.428371174,0.957880217
1050.000000000,2.628246475,0.960262817
1060.000000000,2.375837918,0.956080730
1070.000000000,2.294221157,0.956266834
1080.000000000,1.093709375,0.955867217
1090.000000000,1.061356043,0.957778494
1100.000000000,1.384582982,0.957919790
1110.000000000,1.785275107,0.953517640
1120.000000000,2.632892623,0.956727817
1130.000000000,2.323445802,0.952905134
1140.000000000,2.282442036,0.952804882
1150.000000000,1.086595301,0.952716107
1160.000000000,1.063416696,0.951186286
1170.000000000,1.397787921,0.951882665
1180.000000000,2.418421681,0.950337295
1190.000000000,2.635979840,0.950595526
1200.000000000,2.315964293,0.953022125
1210.000000000,2.263217915,0.948980136
1220.000000000,1.079427392,0.949550575
1230.000000000,1.186432526,0.948025245
1240.000000000,1.409832361,0.948374371
1250.000000000,2.598639815,0.950559918
1260.000000000,2.635491219,0.947201203
1270.000000000,2.313284601,0.949945730
1280.000000000,1.923489816,0.945555594
1290.000000000,1.068491712,0.946197339
1300.000000000,1.348226210,0.944858900
1310.000000000,1.414801871,0.944888854
1320.000000000,2.601903767,0.947437243
1330.000000000,2.625484890,0.943207364
1340.000000000,2.300690075,0.943977272
1350.000000000,1.307708629,0.942390775
1360.000000000,1.067666976,0.945303592
